Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
tibia_foot_r1,0.133496666692503,-0.0151053503981417,0.00205833169717428,0,0,0,0.120214017887961,2.29816742236997E-05,-1.24111932632468E-05,4.13635941016529E-08,0.000176023190447476,-1.33753642843933E-10,0.000189787887885197,0,0,0,0,0,0,package://hexapod/meshes/tibia_foot_r1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/tibia_foot_r1.STL,,leg_r1-1/Tibia_R-1,tibia_foot_r1 <leg_r1-1>,Axis_tibia_foot_joint_r1,tibia_foot_joint_r1,continuous,0.144395915274678,-0.00260162843895737,-0.00580000000000004,0,0,-3.14159265358979,tibia_r1,0.999929737401117,-0.0118541242162215,0,,,,,,,,,,,,
leg_center_r2,0.00217939670796918,-0.0348344370234085,-0.00100016537397827,0,0,0,0.103363778053454,4.50607448293531E-05,6.44841538273084E-10,4.14553854270754E-08,1.91048787115548E-05,2.15047896092572E-07,3.52896647303261E-05,0,0,0,0,0,0,package://hexapod/meshes/leg_center_r2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/leg_center_r2.STL,,leg_r2-1/Coxa_R-1,leg_center_r2,leg_center_joint_r2 <leg_r2-1>,leg_center_joint_r2,revolute,0,-0.078,-0.0017,0,0,0,thorax,0,0,-1,0,0,-1.57,1.57,,,,,,,,
coxa_r2,0.0348344911173376,0.00217853192417436,-0.00100016537397829,0,0,0,0.103363778053454,1.91048786955346E-05,-4.73582125705158E-13,-2.1504686687467E-07,4.50607448453734E-05,4.14607240908262E-08,3.52896647303261E-05,0,0,0,0,0,0,package://hexapod/meshes/coxa_r2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/coxa_r2.STL,,leg_r2-1/Coxa_R-1,coxa_r2 <leg_r2-1>,coxa_joint_r2 <leg_r2-1>,coxa_joint_r2,revolute,0,0,0,0,0,-1.5708,leg_center_r2,0,0,-1,0,0,-1.57,1.57,,,,,,,,
femur_r2,-0.00362186426289651,0.0356362963042353,0.00581874969222816,0,0,0,0.0167057274084573,1.10325316501959E-05,-2.0036820117646E-07,-1.93340134884321E-09,1.01761454004157E-06,-9.66784667800849E-08,1.15426806155419E-05,0,0,0,0,0,0,package://hexapod/meshes/femur_r2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/femur_r2.STL,,leg_r2-1/Femur_R-1,femur_r2 <leg_r2-1>,femur_joint_r2 <leg_r2-1>,femur_joint_r2,revolute,0.053487,-0.00025,-0.01255,1.5708,-1.5708,0,coxa_r2,0,0,-1,0,0,-1.57,1.57,,,,,,,,
tibia_r2,0.0108992206549124,0.0125032775464929,-0.00374163760383288,0,0,0,0.120214224900765,2.29812081418684E-05,-1.24105923741768E-05,-4.1365031385574E-08,0.000176022002118481,2.21039713672257E-10,0.000189786271631109,0,0,0,0,0,0,package://hexapod/meshes/tibia_r2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/tibia_r2.STL,,leg_r2-1/Tibia_R-1,tibia_r2 <leg_r2-1>,tibia_joint_r2 <leg_r2-1>,tibia_joint_r2,revolute,0.0013997,0.069986,0.0059687,3.1416,0,3.1297,femur_r2,0,0,-1,0,0,-1.57,1.57,,,,,,,,
tibia_foot_r2,0.133496694619765,-0.0151049059854504,0.00205836239616716,0,0,0,0.120214224900765,2.29812081418684E-05,-1.24105923741768E-05,4.13650313855771E-08,0.000176022002118481,-2.21039713668892E-10,0.000189786271631109,0,0,0,0,0,0,package://hexapod/meshes/tibia_foot_r2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/tibia_foot_r2.STL,,leg_r2-1/Tibia_R-1,tibia_foot_r2 <leg_r2-1>,Axis_tibia_foot_joint_r2,tibia_foot_joint_r2,continuous,0.1444,-0.0026016,-0.0058,0,0,-3.1416,tibia_r2,0.99993,-0.011854,0,,,,,,,,,,,,
leg_center_r3,-0.0238381761959083,-0.0254937073667474,-0.00100016520790498,0,0,0,0.103363765454807,3.13327975653495E-05,-1.29562410478989E-05,1.84850826345529E-07,3.2832818038509E-05,1.17449309724484E-07,3.52896593628051E-05,0,0,0,0,0,0,package://hexapod/meshes/leg_center_r3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/leg_center_r3.STL,,leg_r3-1/Coxa_R-1,leg_center_r3,leg_center_joint_r3 <leg_r3-1>,leg_center_joint_r3,revolute,-0.077819,-0.05449,-0.0017,0,0,0,thorax,0,0,-1,0,0,-1.57,1.57,,,,,,,,
coxa_r3,0.034834490871516,0.00217853284822213,-0.00100016520790498,0,0,0,0.103363765454807,1.91048766321999E-05,-5.32153376308812E-13,-2.15046886402031E-07,4.50607389716587E-05,4.14608852314397E-08,3.52896593628051E-05,0,0,0,0,0,0,package://hexapod/meshes/coxa_r3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/coxa_r3.STL,,leg_r3-1/Coxa_R-1,coxa_r3 <leg_r3-1>,coxa_joint_r3 <leg_r3-1>,coxa_joint_r3,revolute,0,0,0,0,0,-2.3851,leg_center_r3,0,0,-1,0,0,-1.57,1.57,,,,,,,,
femur_r3,-0.00362186679641074,0.0356362982569797,0.00581875544117352,0,0,0,0.0167057123479051,1.103252111879E-05,-2.00367418643181E-07,-1.93334161626663E-09,1.0176099977436E-06,-9.6677863928821E-08,1.15426649553057E-05,0,0,0,0,0,0,package://hexapod/meshes/femur_r3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/femur_r3.STL,,leg_r3-1/Femur_R-1,femur_r3 <leg_r3-1>,femur_joint_r3 <leg_r3-1>,femur_joint_r3,revolute,0.053487,-0.00025,-0.01255,1.5708,-1.5708,0,coxa_r3,0,0,-1,0,0,-1.57,1.57,,,,,,,,
tibia_r3,0.0108992314689519,0.0125037178758301,-0.0037416710419222,0,0,0,0.120213976335486,2.29816787162442E-05,-1.24111671758207E-05,-4.13419272250509E-08,0.000176023084082611,1.39305456137173E-10,0.000189787796737244,0,0,0,0,0,0,package://hexapod/meshes/tibia_r3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/tibia_r3.STL,,leg_r3-1/Tibia_R-1,tibia_r3 <leg_r3-1>,tibia_joint_r3 <leg_r3-1>,tibia_joint_r3,revolute,0.0013997,0.069986,0.0059687,3.1416,0,3.1297,femur_r3,0,0,-1,0,0,-1.57,1.57,,,,,,,,
tibia_foot_r3,0.133496683805726,-0.0151053463147875,0.00205832895807785,0,0,0,0.120213976335486,2.29816787162442E-05,-1.24111671758207E-05,4.13419272250562E-08,0.000176023084082611,-1.39305456137229E-10,0.000189787796737244,0,0,0,0,0,0,package://hexapod/meshes/tibia_foot_r3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/tibia_foot_r3.STL,,leg_r3-1/Tibia_R-1,tibia_foot_r3 <leg_r3-1>,Axis_tibia_foot_joint_r3,tibia_foot_joint_r3,continuous,0.1444,-0.0026016,-0.0058,0,0,3.1416,tibia_r3,0.99993,-0.011854,0,,,,,,,,,,,,
